Year,"Risk, Security & Consumer Protection",Taxation,Regional Integration & Geopolitics,"Regulation, Law & Compliance",Innovation & Adoption Trends,Blockchain & Digital Infrastructure,CBDC & Monetary Policy,Digital Economy & Tech Policy,Sector-Specific Applications,Economic & Financial Impact,Financial Inclusion & Social Impact,Environmental & Energy Impact
2015,2,1,0,0,0,0,0,0,0,0,0,0
2017,3,1,1,3,0,0,0,0,0,0,0,0
2018,2,0,0,11,3,0,0,0,0,0,0,0
2019,4,0,0,3,0,1,1,0,0,0,0,0
2020,1,0,3,2,4,0,0,2,1,0,0,0
2021,3,2,0,9,5,1,3,1,0,1,6,0
2022,8,0,2,46,11,3,12,0,7,7,4,3
2023,4,0,4,19,19,6,9,2,4,11,4,2
2024,10,0,5,15,8,6,8,0,2,11,8,2
2025,3,4,0,21,4,0,4,0,2,1,4,0
